grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;116740030001;Execução Judicial;202311;14;0;0;8;207;18;13;192
G1;116740030001;Conhecimento;202311;68;3;3;64;572;22;20;677
G1;116740030001;Execução Judicial;202312;13;2;3;7;220;20;16;199
G1;116740030001;Conhecimento;202312;78;3;0;41;650;25;20;718
G1;116740030001;Execução de Título Extrajudicial;202312;4;1;1;2;54;1;1;120
G1;116740030001;Execução Judicial;202401;14;1;1;7;227;21;15;194
G1;116740030001;Conhecimento;202401;46;2;1;45;638;27;20;747
G1;116740030001;Execução de Título Extrajudicial;202401;1;0;0;14;52;1;1;116
G1;116740030001;Execução de Título Extrajudicial;202402;5;0;0;18;56;1;1;122
G1;116740030001;Conhecimento;202402;41;3;0;61;663;29;17;764
G1;116740030001;Execução Judicial;202402;7;2;1;8;220;21;16;194
G1;116740030001;Execução Judicial;202403;6;0;0;8;209;20;15;188
G1;116740030001;Execução de Título Extrajudicial;202403;1;0;0;5;54;1;1;120
G1;116740030001;Conhecimento;202403;37;1;0;62;666;29;16;791
G1;116740030001;Execução Judicial;202404;14;3;3;21;204;20;18;193
G1;116740030001;Conhecimento;202404;86;4;1;91;710;32;16;821
G1;116740030001;Execução de Título Extrajudicial;202404;3;0;0;5;51;1;1;122
G1;116740030001;Execução Judicial;202405;12;2;4;17;192;21;21;170
G1;116740030001;Conhecimento;202405;74;4;3;87;736;33;17;839
G1;116740030001;Execução de Título Extrajudicial;202405;3;1;1;5;46;2;2;119
G1;116740030001;Conhecimento;202406;63;2;1;51;747;32;17;812
G1;116740030001;Execução Judicial;202406;15;1;0;14;191;21;17;165
G1;116740030001;Execução de Título Extrajudicial;202406;7;0;0;4;52;2;2;97
G1;116740030001;Conhecimento;202407;129;3;2;67;817;28;17;810
G1;116740030001;Execução Judicial;202407;19;5;8;23;191;22;23;173
G1;116740030001;Execução de Título Extrajudicial;202407;12;0;0;4;61;2;2;89
G1;116740030001;Execução de Título Extrajudicial;202408;9;0;0;13;68;2;2;98
G1;116740030001;Conhecimento;202408;83;4;2;97;862;30;15;806
G1;116740030001;Execução Judicial;202408;20;2;1;15;182;23;22;164
G1;116740030001;Conhecimento;202409;70;3;2;65;861;32;16;823
G1;116740030001;Execução Judicial;202409;16;1;0;31;176;22;22;187
G1;116740030001;Execução de Título Extrajudicial;202409;21;0;0;8;76;2;2;98
G1;116740030001;Execução de Título Extrajudicial;202410;16;0;0;11;85;2;2;99
G1;116740030001;Execução Judicial;202410;22;3;0;16;172;22;21;175
G1;116740030001;Conhecimento;202410;73;5;2;68;848;37;17;799
G1;116740030001;Execução de Título Extrajudicial;202411;6;0;0;7;88;2;2;96
G1;116740030001;Conhecimento;202411;74;2;1;90;854;36;15;825
G1;116740030001;Execução Judicial;202411;23;1;1;24;181;23;22;191
G1;116740030001;Execução de Título Extrajudicial;202412;6;0;0;6;90;1;1;100
G1;116740030001;Execução Judicial;202412;24;4;0;14;192;25;19;198
G1;116740030001;Conhecimento;202412;87;3;1;62;863;36;16;846
G1;116740030001;Execução de Título Extrajudicial;202501;5;0;0;8;94;1;1;94
G1;116740030001;Conhecimento;202501;69;3;1;66;886;37;16;867
G1;116740030001;Execução Judicial;202501;17;0;0;14;195;24;18;205
G1;116740030001;Execução de Título Extrajudicial;202502;3;0;0;4;92;1;1;80
G1;116740030001;Execução Judicial;202502;21;3;1;12;209;25;18;209
G1;116740030001;Conhecimento;202502;61;6;2;82;906;40;18;888
G1;116740030001;Execução Judicial;202503;26;4;3;22;229;29;21;223
